patient_id,age,gender,state,blood_group,abha_id
P0149,47,Female,Delhi,A+,91-2098-4426-4655
P0150,61,Male,Rajasthan,A+,91-8938-1187-6409
P0151,80,Female,Haryana,B+,91-3092-3130-6242
P0152,24,Female,Uttar Pradesh,B+,91-9549-6647-6185
P0153,19,Male,Uttar Pradesh,B+,91-6776-8913-8547
P0154,37,Male,Delhi,O-,91-8823-8355-7465
P0155,73,Male,Punjab,O+,91-2497-3555-6409
P0156,21,Male,Punjab,O+,91-3951-2238-5727
P0157,50,Female,Uttar Pradesh,O+,91-4965-6686-4701
P0158,42,Female,Uttar Pradesh,B+,91-3780-8398-2588
P0159,35,Male,Uttar Pradesh,B+,91-3368-6789-1436
P0160,50,Male,Haryana,B-,91-3828-2556-8570
P0161,53,Male,Uttar Pradesh,O+,91-8480-1182-8190
P0162,45,Male,Haryana,A+,91-7687-6565-8241
P0163,63,Female,Haryana,B+,91-8651-6575-2589
P0164,75,Male,Uttar Pradesh,A+,91-9851-1159-7555
P0165,56,Male,Haryana,B+,91-9244-7846-3307
P0166,56,Male,Delhi,O+,91-2228-8226-6590
P0167,57,Female,Delhi,O+,91-7919-6585-7046
P0168,78,Male,Haryana,A+,91-5945-8927-8016
P0169,28,Female,Uttar Pradesh,O+,91-8758-6086-8161
P0170,25,Male,Haryana,O+,91-2884-2809-4167
P0171,53,Female,Uttar Pradesh,A+,91-7352-7056-3437
P0172,92,Female,Haryana,A+,91-7468-6951-6276
P0173,52,Male,Uttar Pradesh,A+,91-9859-8818-5728
P0174,79,Male,Delhi,A+,91-3624-6738-5232
P0175,43,Female,Haryana,O+,91-6793-5523-6571
P0176,50,Female,Uttar Pradesh,B+,91-3224-9389-7091
P0177,91,Male,Rajasthan,O+,91-9662-7361-2948
P0178,26,Male,Haryana,B+,91-8094-7318-4796
P0179,30,Female,Delhi,A+,91-1234-4607-9043
P0180,77,Female,Delhi,B+,91-1522-6904-5888
P0181,44,Male,Delhi,A+,91-6832-8122-6842
P0182,24,Female,Uttar Pradesh,B+,91-2316-2124-6621
P0183,35,Male,Delhi,O+,91-6423-3587-6672
P0184,19,Female,Haryana,B+,91-2378-4374-2519
P0185,68,Male,Haryana,AB+,91-6777-8935-7093
P0186,55,Male,Delhi,A+,91-9418-6355-5968
P0187,89,Male,Haryana,A+,91-6574-5072-3257
P0188,60,Female,Delhi,A+,91-9588-5424-4237
P0189,78,Male,Haryana,AB+,91-4893-3005-3016
P0190,37,Male,Delhi,A+,91-2772-9353-4976
P0191,61,Male,Uttar Pradesh,B+,91-2751-9967-8430
P0192,55,Male,Delhi,B-,91-8170-7469-4220
P0193,31,Female,Punjab,B+,91-1539-2461-6184
P0194,31,Male,Haryana,A+,91-9547-1234-2548
P0195,66,Female,Uttar Pradesh,A-,91-8480-5213-2673
P0196,50,Female,Uttar Pradesh,O+,91-7708-8982-3100
P0197,45,Female,Uttar Pradesh,O+,91-4748-4173-2815
P0198,67,Male,Uttar Pradesh,B+,91-4841-9016-8011
P0199,59,Male,Haryana,A+,91-5493-1674-9088
P0200,65,Male,Haryana,O-,91-9578-3158-3661
P0201,49,Male,Haryana,O+,91-3064-4253-5979
P0202,61,Male,Haryana,A-,91-8703-9931-2401
P0203,65,Female,Delhi,O+,91-4259-4923-5214
P0204,27,Male,Delhi,A+,91-4227-3745-7091
P0205,65,Male,Uttar Pradesh,B-,91-4866-6818-3222
P0206,36,Female,Haryana,AB-,91-3792-5063-2524
P0207,53,Male,Uttar Pradesh,A+,91-9224-7198-5025
P0208,43,Female,Uttar Pradesh,O+,91-3566-3803-4709
P0209,60,Female,Punjab,O+,91-7155-1719-7516
P0210,61,Male,Delhi,B-,91-5579-1972-4718
P0211,52,Female,Delhi,A+,91-8395-5402-5552
P0212,40,Female,Delhi,A+,91-3207-5426-7919
P0213,67,Female,Haryana,B+,91-9835-9386-9680
P0214,21,Male,Uttar Pradesh,O+,91-3204-6345-4276
P0215,76,Male,Delhi,A+,91-2102-6243-7614
P0216,24,Female,Uttar Pradesh,B+,91-9707-6223-9584
P0217,67,Male,Haryana,O+,91-1630-7683-1277
P0218,32,Male,Uttar Pradesh,A+,91-1232-6690-8659
P0219,80,Male,Uttar Pradesh,O+,91-1025-8468-7410
P0220,59,Female,Delhi,A+,91-9652-4764-7599
P0221,69,Male,Haryana,O+,91-6102-8006-4483
P0222,58,Female,Haryana,B+,91-2994-9682-2072
P0223,91,Female,Delhi,A+,91-7707-1215-8605
P0224,51,Female,Haryana,B+,91-3606-9350-5781
P0225,21,Female,Delhi,B+,91-4313-8763-6939
P0226,60,Female,Haryana,O+,91-3295-6685-2696
P0227,46,Female,Haryana,O+,91-2946-3783-4644
P0228,55,Male,Haryana,AB+,91-6241-7420-8557
P0229,77,Female,Uttar Pradesh,A+,91-3645-7589-7353
P0230,35,Male,Delhi,A+,91-2932-2757-6085
P0231,64,Male,Uttar Pradesh,A+,91-6637-2116-1492
P0232,66,Male,Delhi,B-,91-9811-8888-7474
P0233,94,Female,Delhi,O+,91-5958-3743-8866
P0234,58,Male,Rajasthan,B+,91-8160-6451-6258
P0235,77,Female,Delhi,A+,91-9548-8186-7102
P0236,55,Female,Haryana,B-,91-1619-1882-9988
P0237,69,Female,Haryana,O+,91-4642-2296-9436
P0238,65,Female,Delhi,O+,91-3895-7593-1929
P0239,74,Female,Delhi,O+,91-6366-9711-4212
P0240,28,Female,Delhi,A-,91-3409-9199-4423
P0241,86,Female,Rajasthan,A+,91-7976-8594-6158
P0242,32,Female,Haryana,O+,91-4667-6973-7236
P0243,83,Female,Delhi,O+,91-9277-3468-7217
P0244,67,Female,Haryana,A-,91-4619-2636-9155
P0245,47,Male,Uttar Pradesh,O+,91-4583-5009-4326
P0246,39,Male,Delhi,O+,91-9148-3217-5967
P0247,19,Male,Haryana,AB+,91-3369-4638-6722
P0248,19,Male,Haryana,O+,91-5444-8618-4947
P0249,62,Female,Punjab,B+,91-2676-2196-3787
P0250,74,Female,Delhi,B+,91-8432-8927-4318
P0251,93,Female,Delhi,B+,91-9858-7689-3176
P0252,72,Male,Delhi,O+,91-4743-9792-5422
P0253,33,Female,Uttar Pradesh,O+,91-4824-3451-1628
P0254,74,Female,Delhi,O+,91-8778-4696-4674
P0255,77,Female,Haryana,A+,91-4929-3765-5369
P0256,72,Female,Uttar Pradesh,O+,91-9307-5956-1692
P0257,85,Female,Uttar Pradesh,O+,91-4162-2105-4008
P0258,63,Male,Haryana,O+,91-3161-9345-4699
P0259,57,Female,Rajasthan,O+,91-4786-5200-2913
P0260,56,Male,Haryana,O+,91-6520-2772-3780
P0261,42,Male,Haryana,B+,91-8423-3871-1660
P0262,47,Female,Delhi,B+,91-7242-2132-1699
P0263,65,Male,Punjab,A+,91-8470-7297-8812
P0264,79,Female,Delhi,B+,91-5557-3179-9275
P0265,52,Male,Delhi,O+,91-2422-4180-5316
P0266,69,Female,Delhi,O+,91-7696-1614-5570
P0267,58,Male,Uttar Pradesh,A+,91-1270-3468-4607
P0268,47,Female,Delhi,A+,91-4075-1289-9120
P0269,83,Female,Delhi,O+,91-7614-4252-8415
P0270,60,Male,Delhi,A+,91-7771-1278-1580
P0271,55,Female,Delhi,A+,91-5958-9445-5276
P0272,89,Female,Haryana,A+,91-8997-5776-1824
P0273,45,Male,Uttar Pradesh,A+,91-4832-9891-6445
P0274,93,Male,Delhi,A+,91-2380-7534-4156
P0275,67,Male,Haryana,B+,91-5307-6634-9575
P0276,66,Male,Uttar Pradesh,B+,91-6810-9533-6934
P0277,65,Female,Delhi,O+,91-4109-5082-4240
P0278,71,Female,Delhi,B+,91-7028-2849-9497
P0279,41,Male,Punjab,O+,91-3749-7680-1205
P0280,94,Male,Haryana,A+,91-8352-5591-4450
P0281,72,Female,Delhi,A+,91-8214-4811-6141
P0282,73,Male,Haryana,O+,91-9501-3708-2991
P0283,55,Male,Delhi,A+,91-9463-4273-5538
P0284,39,Female,Haryana,B+,91-9712-4722-4551
P0285,46,Female,Delhi,AB+,91-3832-6679-7579
P0286,63,Female,Delhi,AB+,91-1152-6754-3800
P0287,84,Female,Delhi,A+,91-6310-3610-2104
P0288,55,Female,Punjab,B+,91-8361-5199-4854
P0289,47,Female,Uttar Pradesh,AB-,91-8263-2914-8365
P0290,44,Male,Delhi,A+,91-4072-1406-1166
P0291,63,Male,Delhi,O+,91-1508-2661-4664
P0292,84,Male,Uttar Pradesh,O+,91-4489-1680-3524
P0293,49,Male,Delhi,O-,91-3120-6260-5357
P0294,46,Female,Delhi,A+,91-2363-3292-2538
P0295,21,Male,Punjab,O+,91-4408-8742-9752
P0296,24,Male,Delhi,B+,91-2903-1174-3230
P0297,54,Male,Uttar Pradesh,B+,91-5287-5160-8106
P0298,53,Male,Punjab,A+,91-4171-2567-2151
P0299,58,Female,Delhi,O+,91-8619-7033-9560
P0300,48,Male,Delhi,A+,91-5946-9234-2907
P0301,76,Female,Delhi,B+,91-4490-3535-5173
P0302,38,Male,Uttar Pradesh,A+,91-2293-5769-5796
P0303,46,Female,Rajasthan,O+,91-7871-3972-4922
P0304,28,Female,Uttar Pradesh,O+,91-5997-8032-1992
P0305,50,Male,Delhi,O+,91-9112-6287-3240
P0306,77,Female,Uttar Pradesh,A-,91-2476-7426-1389
P0307,43,Male,Rajasthan,A+,91-1999-2855-9125
P0308,25,Male,Uttar Pradesh,AB-,91-9850-3763-4663
P0309,69,Female,Punjab,B+,91-5986-2481-8256
P0310,88,Male,Uttar Pradesh,A+,91-4731-8262-1451
P0311,47,Male,Uttar Pradesh,O+,91-4093-1882-5408
P0312,61,Female,Haryana,O-,91-5068-4277-9566
P0313,60,Male,Delhi,O+,91-8951-5690-5595
P0314,67,Female,Delhi,O+,91-5559-8291-9160
P0315,71,Male,Uttar Pradesh,O+,91-1112-6131-4197
P0316,46,Female,Delhi,A+,91-1139-2424-3949
P0317,94,Female,Rajasthan,B-,91-4168-9708-7043
P0318,63,Female,Punjab,O+,91-7989-8236-7261
P0319,58,Female,Uttar Pradesh,A+,91-1887-4104-1049
P0320,25,Male,Delhi,O+,91-4951-4560-1018
P0321,60,Female,Delhi,AB+,91-5821-7340-9058
P0322,46,Male,Delhi,AB+,91-3606-8846-9643
P0323,65,Male,Uttar Pradesh,O+,91-7432-4765-3438
P0324,25,Male,Uttar Pradesh,O+,91-7358-9319-6941
P0325,62,Female,Rajasthan,O+,91-8644-5855-7547
P0326,70,Male,Haryana,A+,91-8196-6911-7481
P0327,33,Female,Rajasthan,O+,91-3761-5456-7361
P0328,22,Female,Rajasthan,A+,91-6693-6788-1201
P0329,70,Female,Delhi,B+,91-7160-1517-8737
P0330,67,Male,Rajasthan,B+,91-2988-4802-6808
P0331,74,Female,Delhi,B+,91-8162-7241-9399
P0332,31,Male,Delhi,B+,91-6633-6755-7309
P0333,78,Male,Uttar Pradesh,O+,91-5117-9345-2518
P0334,50,Male,Delhi,O+,91-7163-3600-3195
P0335,58,Male,Uttar Pradesh,AB-,91-4554-3849-2742
P0336,53,Female,Uttar Pradesh,A+,91-2306-4849-8519
P0337,73,Female,Haryana,O+,91-5195-6178-3555
P0338,51,Male,Delhi,O+,91-3305-8619-3642
P0339,79,Male,Haryana,O+,91-7409-5757-3994
P0340,70,Male,Haryana,A+,91-9751-2271-2813
P0341,27,Male,Haryana,A+,91-9801-3461-5120
P0342,52,Female,Haryana,A+,91-7124-9475-5396
P0343,53,Male,Delhi,A+,91-1816-8304-8331
P0344,68,Male,Haryana,B+,91-1082-2920-8817
P0345,37,Male,Delhi,O+,91-3093-8071-8967
P0346,42,Female,Uttar Pradesh,B+,91-9367-6285-5937
P0347,53,Female,Uttar Pradesh,A+,91-1369-2818-3101
P0348,56,Female,Haryana,A-,91-4490-2779-8674
P0349,66,Female,Haryana,A+,91-2364-8294-4676
P0350,85,Female,Punjab,A+,91-3426-9264-9089
P0351,23,Male,Uttar Pradesh,A-,91-3962-1859-5138
P0352,58,Female,Rajasthan,A-,91-3424-5017-9560
P0353,72,Female,Uttar Pradesh,O+,91-9342-2134-6166
P0354,32,Female,Delhi,O+,91-6119-6694-7136
P0355,51,Female,Delhi,B+,91-6485-5164-3346
P0356,57,Female,Haryana,B+,91-6039-5897-9252
P0357,47,Female,Delhi,O+,91-6041-4901-2337
P0358,65,Female,Haryana,A+,91-2184-5426-2551
P0359,70,Female,Delhi,A+,91-2629-2526-2361
P0360,25,Female,Haryana,O+,91-5370-6283-8610
P0361,42,Female,Uttar Pradesh,A+,91-2993-1869-2014
P0362,48,Male,Uttar Pradesh,AB+,91-1602-1690-9685
P0363,56,Female,Haryana,B-,91-1489-7864-8240
P0364,78,Male,Uttar Pradesh,B+,91-8786-9024-1294
P0365,74,Female,Haryana,A-,91-6488-5027-3912
P0366,46,Female,Rajasthan,O+,91-5744-2873-4258
P0367,53,Female,Delhi,A+,91-3817-9636-4641
P0368,56,Male,Punjab,A+,91-5458-6307-9933
P0369,54,Male,Uttar Pradesh,O+,91-3041-1679-6738
P0370,41,Male,Delhi,B-,91-6668-8697-9033
P0371,35,Female,Delhi,A+,91-1062-8829-8352
P0372,57,Male,Haryana,O+,91-7915-9326-4644
P0373,52,Male,Delhi,B+,91-5970-9003-4278
P0374,48,Male,Delhi,O+,91-8296-4074-9312
P0375,37,Female,Uttar Pradesh,O+,91-8552-2637-6103
P0376,67,Female,Haryana,AB+,91-1644-3032-3761
P0377,41,Male,Uttar Pradesh,B+,91-3068-1241-3668
P0378,60,Male,Rajasthan,O+,91-1802-6059-1195
P0379,45,Female,Haryana,A+,91-3187-3330-5841
P0380,52,Female,Haryana,O+,91-4606-9468-1060
P0381,52,Female,Delhi,A+,91-4927-7296-3591
P0382,29,Male,Uttar Pradesh,B+,91-9758-7121-2200
P0383,57,Female,Delhi,A-,91-3854-8024-7972
P0384,60,Male,Punjab,O+,91-1136-2029-3594
P0385,54,Female,Uttar Pradesh,O+,91-8206-1661-3472
P0386,43,Female,Haryana,A+,91-1086-7219-9143
P0387,29,Male,Delhi,A+,91-7968-3773-2700
P0388,73,Male,Rajasthan,O+,91-3700-7815-2647
P0389,19,Female,Uttar Pradesh,B+,91-7038-6164-6520
P0390,21,Female,Delhi,A+,91-4687-1596-5545
P0391,58,Female,Delhi,O+,91-9676-9837-5757
P0392,38,Female,Uttar Pradesh,B-,91-5384-9912-5733
P0393,46,Female,Delhi,O-,91-8081-9690-8117
P0394,57,Female,Rajasthan,A+,91-5729-2673-9306
P0395,52,Male,Haryana,B+,91-8178-3294-4630
P0396,36,Female,Delhi,B-,91-1146-4453-5507
P0397,35,Male,Uttar Pradesh,O+,91-6783-8751-6628
P0398,32,Male,Delhi,B-,91-9328-4360-4005
P0399,68,Female,Haryana,AB+,91-4552-1018-3242
P0400,40,Male,Delhi,A+,91-7318-6097-9640
P0401,35,Male,Delhi,O+,91-2948-6618-5236
P0402,89,Male,Uttar Pradesh,B+,91-7901-2920-5188
P0403,41,Female,Haryana,A+,91-1238-1204-6552
P0404,53,Male,Haryana,O+,91-5927-5390-3687
P0405,48,Male,Uttar Pradesh,A+,91-5951-7160-6388
P0406,76,Male,Uttar Pradesh,A+,91-6126-1816-1192
P0407,60,Male,Delhi,O+,91-2776-4645-7314
P0408,77,Male,Delhi,B+,91-9442-2788-8374
P0409,55,Male,Rajasthan,O+,91-4700-4893-7811
P0410,50,Female,Uttar Pradesh,A-,91-3679-4904-8260
P0411,29,Male,Haryana,O+,91-1504-7773-4816
P0412,25,Male,Delhi,A+,91-1717-5434-1658
P0413,70,Male,Delhi,B+,91-6057-5008-5994
P0414,61,Male,Uttar Pradesh,O+,91-5234-4764-5637
P0415,85,Female,Rajasthan,O+,91-3104-7801-9575
P0416,91,Female,Uttar Pradesh,B+,91-3607-9385-4719
P0417,79,Male,Uttar Pradesh,B+,91-3581-3565-3763
P0418,69,Male,Uttar Pradesh,O+,91-7328-6991-4406
P0419,51,Male,Delhi,B-,91-9923-5780-5177
P0420,43,Female,Haryana,O+,91-7476-3604-9181
P0421,82,Female,Delhi,O+,91-3382-1531-7079
P0422,78,Female,Delhi,A+,91-1634-1002-9397
P0423,63,Male,Rajasthan,A+,91-6951-6626-8739
P0424,55,Female,Haryana,O+,91-7003-3890-7239
P0425,20,Male,Haryana,A+,91-9026-4306-1897
P0426,51,Male,Delhi,A+,91-1670-8291-2505
P0427,29,Male,Delhi,O+,91-7460-6167-6255
P0428,56,Male,Delhi,B-,91-1249-7457-2892
P0429,50,Female,Delhi,O+,91-4439-3854-4792
P0430,64,Female,Uttar Pradesh,B-,91-6330-8871-9235
P0431,59,Male,Delhi,B-,91-4612-3618-5678
P0432,46,Female,Uttar Pradesh,A+,91-4163-3942-9411
P0433,31,Female,Delhi,B+,91-2925-3972-1990
P0434,50,Female,Delhi,A-,91-2812-9995-1489
P0435,72,Female,Delhi,B+,91-6876-4645-8081
P0436,50,Female,Haryana,O+,91-3891-4516-4340
P0437,79,Female,Uttar Pradesh,B+,91-7410-1053-3575
P0438,58,Female,Haryana,B+,91-1615-6944-8404
P0439,56,Male,Haryana,B+,91-1954-2629-7859
P0440,44,Male,Uttar Pradesh,A+,91-9841-4278-6455
P0441,21,Female,Delhi,B+,91-4801-3561-7539
P0442,72,Male,Delhi,A+,91-1370-1857-5886
P0443,50,Female,Uttar Pradesh,A+,91-8485-1383-5334
P0444,51,Male,Uttar Pradesh,A+,91-5290-3725-7204
P0445,62,Male,Delhi,B+,91-7111-5251-1922
P0446,42,Male,Rajasthan,O+,91-3915-8957-4046
P0447,75,Male,Uttar Pradesh,A-,91-2230-8647-5933
P0448,85,Female,Delhi,A-,91-4940-7483-1203
P0449,37,Female,Uttar Pradesh,O+,91-1160-9960-4748
P0450,43,Female,Haryana,A+,91-7718-3581-2093
P0451,68,Female,Haryana,O+,91-5500-9799-6710
P0452,57,Male,Delhi,B+,91-3875-4191-2837
P0453,56,Male,Delhi,B+,91-1689-4759-3103
P0454,51,Female,Uttar Pradesh,B-,91-1365-9092-5172
P0455,43,Female,Haryana,A+,91-7033-3378-2205
P0456,76,Male,Uttar Pradesh,AB+,91-5988-6669-3735
P0457,58,Male,Uttar Pradesh,B+,91-9490-1956-7623
P0458,55,Male,Delhi,O+,91-2474-5460-8002
P0459,56,Female,Uttar Pradesh,A+,91-7396-3828-3850
P0460,76,Female,Delhi,B+,91-3964-5594-7644
P0461,76,Male,Haryana,AB+,91-3850-1165-1919
P0462,55,Female,Uttar Pradesh,A+,91-9305-4504-1991
P0463,35,Female,Delhi,B+,91-7047-4839-2258
P0464,29,Male,Haryana,O+,91-8609-9706-5804
P0465,48,Female,Delhi,O+,91-1067-6660-5478
P0466,41,Female,Delhi,A-,91-9210-4521-1572
P0467,46,Male,Delhi,O+,91-8082-8832-6395
P0468,52,Male,Delhi,O+,91-3258-7039-1650
P0469,53,Male,Punjab,O+,91-6741-7838-3587
P0470,24,Male,Haryana,A+,91-8876-4262-2338
P0471,44,Male,Delhi,O+,91-5996-6780-3827
P0472,90,Female,Haryana,A-,91-6232-3217-4539
P0473,49,Male,Delhi,O-,91-8845-5383-3961
